epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.7196,1.17263,2.60868,1.47557,0.68665,0.36201,0.4361,0.23752,1.36522,2.57429,1.64523,0.00047322,0.00047322,0.00047322
2,115.752,1.21871,2.00228,1.50656,0.58374,0.4232,0.46958,0.26185,1.44922,2.20473,1.66912,0.000940153,0.000940153,0.000940153
3,159.59,1.23396,1.84198,1.51368,0.31292,0.31523,0.29203,0.15353,1.57838,2.32263,1.82878,0.00139765,0.00139765,0.00139765
4,203.468,1.25013,1.76448,1.5283,0.3091,0.40104,0.31535,0.15516,1.63798,2.52038,1.86436,0.00138656,0.00138656,0.00138656
5,247.247,1.2179,1.65933,1.49346,0.53298,0.486,0.46696,0.27262,1.45071,2.05059,1.67121,0.00137241,0.00137241,0.00137241
6,290.429,1.18074,1.55465,1.4747,0.5162,0.49343,0.50514,0.31364,1.37641,2.0476,1.57989,0.00135826,0.00135826,0.00135826
7,334.473,1.13154,1.46585,1.43551,0.59356,0.51856,0.58046,0.35905,1.35896,1.56683,1.48215,0.00134412,0.00134412,0.00134412
8,378.464,1.12055,1.43071,1.41738,0.59662,0.45986,0.48286,0.29762,1.41746,1.81933,1.58095,0.00132997,0.00132997,0.00132997
9,421.669,1.09389,1.36321,1.40129,0.64124,0.59356,0.62494,0.37485,1.34829,1.50595,1.52531,0.00131582,0.00131582,0.00131582
10,464.66,1.09405,1.3315,1.40123,0.59764,0.57736,0.59797,0.38741,1.31674,1.51116,1.44382,0.00130168,0.00130168,0.00130168
11,510.004,1.05359,1.27472,1.37306,0.60488,0.5669,0.59951,0.35229,1.38297,1.55229,1.57207,0.00128753,0.00128753,0.00128753
12,553.154,1.04812,1.26913,1.36534,0.70766,0.63672,0.66631,0.43794,1.17688,1.28106,1.33172,0.00127338,0.00127338,0.00127338
13,597.379,1.03591,1.198,1.36595,0.72805,0.55934,0.63367,0.42662,1.2053,1.45225,1.35526,0.00125923,0.00125923,0.00125923
14,642.407,1.00172,1.18163,1.33866,0.59987,0.60207,0.62808,0.4127,1.21585,1.44299,1.39619,0.00124509,0.00124509,0.00124509
15,685.121,0.99641,1.15568,1.33267,0.74872,0.59336,0.68088,0.47186,1.13704,1.23883,1.29684,0.00123094,0.00123094,0.00123094
16,729.333,0.99492,1.13202,1.3249,0.6823,0.60827,0.6502,0.387,1.35387,1.40953,1.41494,0.00121679,0.00121679,0.00121679
17,773.395,0.98617,1.11414,1.31922,0.75641,0.6352,0.68542,0.48008,1.13008,1.22103,1.28475,0.00120265,0.00120265,0.00120265
18,816.582,0.97495,1.07977,1.31814,0.68883,0.54958,0.61216,0.39949,1.22656,1.39229,1.36961,0.0011885,0.0011885,0.0011885
19,860.063,0.96505,1.07871,1.30748,0.76942,0.59902,0.68795,0.45537,1.18178,1.33776,1.3609,0.00117435,0.00117435,0.00117435
20,904.419,0.95183,1.03427,1.29924,0.73028,0.60774,0.69648,0.48209,1.0611,1.19545,1.22091,0.00116021,0.00116021,0.00116021
21,950.961,0.93651,1.02405,1.28433,0.78681,0.6796,0.74436,0.4974,1.14378,1.13595,1.27545,0.00114606,0.00114606,0.00114606
22,994.447,0.93384,1.00651,1.29233,0.74807,0.66727,0.71661,0.49257,1.12799,1.13167,1.23926,0.00113191,0.00113191,0.00113191
23,1038.8,0.92394,0.99287,1.274,0.74713,0.6046,0.67653,0.45877,1.1427,1.22729,1.28365,0.00111776,0.00111776,0.00111776
24,1083.44,0.89916,0.96391,1.27071,0.71616,0.60933,0.67518,0.45588,1.11369,1.35637,1.2827,0.00110362,0.00110362,0.00110362
25,1127.26,0.91639,0.98552,1.27598,0.77119,0.59635,0.69031,0.47859,1.12799,1.19,1.26563,0.00108947,0.00108947,0.00108947
26,1172.11,0.90871,0.95256,1.26624,0.72564,0.66694,0.70862,0.49499,1.07881,1.17134,1.25116,0.00107532,0.00107532,0.00107532
27,1217.19,0.90091,0.94335,1.26235,0.75107,0.71078,0.73673,0.51426,1.04233,1.02818,1.18407,0.00106118,0.00106118,0.00106118
28,1261.68,0.89047,0.92083,1.2649,0.7429,0.68733,0.72768,0.51647,1.01648,1.04625,1.17337,0.00104703,0.00104703,0.00104703
29,1304.88,0.88031,0.89407,1.25464,0.73231,0.67346,0.72279,0.51595,1.0352,1.12845,1.21766,0.00103288,0.00103288,0.00103288
30,1347.63,0.86591,0.87455,1.2362,0.80656,0.6691,0.75427,0.54245,1.01683,0.98727,1.18415,0.00101873,0.00101873,0.00101873
31,1394.95,0.86176,0.88125,1.23878,0.77001,0.71262,0.76542,0.53914,1.07853,0.99276,1.22294,0.00100459,0.00100459,0.00100459
32,1439.48,0.85078,0.85571,1.2226,0.76515,0.65759,0.72004,0.48472,1.10522,1.15738,1.26365,0.00099044,0.00099044,0.00099044
33,1483.68,0.86556,0.83012,1.23638,0.804,0.6898,0.75169,0.52947,1.05748,0.98569,1.20803,0.000976293,0.000976293,0.000976293
34,1528.52,0.84704,0.83244,1.22569,0.78974,0.70508,0.74491,0.54212,1.01063,1.01799,1.16934,0.000962146,0.000962146,0.000962146
35,1573.46,0.84295,0.83348,1.22726,0.80751,0.66462,0.74487,0.55348,0.98774,1.01886,1.15431,0.000947999,0.000947999,0.000947999
36,1617.56,0.82937,0.82102,1.21437,0.76186,0.70732,0.74523,0.53587,1.02212,0.99537,1.18722,0.000933851,0.000933851,0.000933851
37,1664.28,0.82477,0.7969,1.21527,0.7542,0.64334,0.68625,0.47451,1.06998,1.3049,1.279,0.000919704,0.000919704,0.000919704
38,1707.11,0.83072,0.8071,1.20852,0.84216,0.6776,0.75676,0.55161,1.03147,0.99174,1.17338,0.000905557,0.000905557,0.000905557
39,1750.85,0.80737,0.79934,1.19591,0.73736,0.73909,0.75402,0.54022,1.03322,0.98566,1.22943,0.00089141,0.00089141,0.00089141
40,1795.24,0.80504,0.77539,1.2076,0.79304,0.68472,0.75655,0.55361,1.03409,0.97399,1.22474,0.000877263,0.000877263,0.000877263
41,1839.88,0.79854,0.77084,1.1917,0.81872,0.68543,0.74443,0.55168,0.99153,1.03256,1.17461,0.000863116,0.000863116,0.000863116
42,1883.91,0.80502,0.7517,1.19214,0.81868,0.72141,0.76846,0.55915,0.96009,0.95746,1.169,0.000848969,0.000848969,0.000848969
43,1929.26,0.78268,0.7313,1.18341,0.76226,0.68113,0.73804,0.53538,0.9881,1.0461,1.15938,0.000834822,0.000834822,0.000834822
44,1974.86,0.7832,0.72821,1.18482,0.80961,0.66995,0.75599,0.56343,0.98031,0.97965,1.17668,0.000820675,0.000820675,0.000820675
45,2018.1,0.77489,0.72521,1.17866,0.80346,0.68497,0.74314,0.54658,0.99756,0.98957,1.20656,0.000806528,0.000806528,0.000806528
46,2061.1,0.76363,0.72419,1.17666,0.77722,0.70254,0.76657,0.55914,1.00352,1.01117,1.22987,0.00079238,0.00079238,0.00079238
47,2106.41,0.76353,0.71879,1.1637,0.82081,0.69045,0.7547,0.55538,0.98573,1.03522,1.16038,0.000778233,0.000778233,0.000778233
