epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.567,1.22805,2.13525,1.51813,0.452,0.33625,0.26705,0.12285,1.83907,3.07473,2.15429,0.00047322,0.00047322,0.00047322
2,128.948,1.35787,1.81288,1.6094,0.3019,0.27802,0.19908,0.0913,1.73358,3.12561,1.94151,0.000940153,0.000940153,0.000940153
3,180.186,1.36114,1.90334,1.62101,0.40767,0.34852,0.33544,0.17765,1.66989,2.91764,1.92372,0.00139765,0.00139765,0.00139765
4,230.498,1.33776,1.81512,1.59859,0.35003,0.50796,0.403,0.23326,1.58424,2.45149,1.80178,0.00138656,0.00138656,0.00138656
5,280.206,1.28742,1.66733,1.54881,0.50337,0.4361,0.44591,0.25492,1.63429,1.95769,1.81467,0.00137241,0.00137241,0.00137241
6,331.409,1.22352,1.57767,1.50718,0.47735,0.4794,0.46795,0.27519,1.48968,2.02535,1.6591,0.00135826,0.00135826,0.00135826
7,381.329,1.17458,1.51222,1.47053,0.61074,0.52346,0.55739,0.32759,1.46897,1.69872,1.67022,0.00134412,0.00134412,0.00134412
8,432.109,1.16498,1.46782,1.44947,0.62645,0.51886,0.57692,0.35776,1.42689,1.71394,1.54472,0.00132997,0.00132997,0.00132997
9,483.784,1.14297,1.42746,1.43113,0.63624,0.53335,0.59702,0.37624,1.31191,1.5663,1.50821,0.00131582,0.00131582,0.00131582
10,535.215,1.11626,1.35946,1.42178,0.5052,0.5308,0.48968,0.30859,1.36722,1.81555,1.50603,0.00130168,0.00130168,0.00130168
11,587.169,1.08518,1.29517,1.39985,0.75495,0.55019,0.63769,0.40118,1.27781,1.48956,1.47898,0.00128753,0.00128753,0.00128753
12,638.397,1.07202,1.26785,1.38522,0.63565,0.54376,0.57993,0.35825,1.3076,1.53515,1.49131,0.00127338,0.00127338,0.00127338
13,689.913,1.05031,1.21284,1.37877,0.76019,0.62511,0.69292,0.43854,1.30307,1.24727,1.43067,0.00125923,0.00125923,0.00125923
14,742.25,1.02606,1.19671,1.36091,0.67078,0.50263,0.55816,0.35684,1.32107,1.68883,1.43677,0.00124509,0.00124509,0.00124509
15,793.875,1.02157,1.18621,1.35286,0.74846,0.61991,0.66575,0.43283,1.21172,1.32617,1.36472,0.00123094,0.00123094,0.00123094
16,844.974,1.01433,1.1491,1.34263,0.63391,0.5772,0.6017,0.38841,1.28434,1.40539,1.40644,0.00121679,0.00121679,0.00121679
17,896.828,1.01588,1.11029,1.34155,0.77295,0.63276,0.7159,0.48025,1.20544,1.30806,1.34179,0.00120265,0.00120265,0.00120265
18,947.671,0.99662,1.10218,1.33929,0.7234,0.6285,0.68251,0.47183,1.16854,1.18765,1.31759,0.0011885,0.0011885,0.0011885
19,998.779,0.97904,1.0793,1.32157,0.68419,0.6516,0.6962,0.46689,1.17154,1.22231,1.32619,0.00117435,0.00117435,0.00117435
20,1051.22,0.97114,1.05234,1.31657,0.75561,0.62147,0.69494,0.47408,1.17933,1.19629,1.29483,0.00116021,0.00116021,0.00116021
21,1102.65,0.98176,1.05394,1.31497,0.74356,0.67278,0.71246,0.48781,1.12248,1.20944,1.30374,0.00114606,0.00114606,0.00114606
22,1154.49,0.93754,1.00859,1.2959,0.68563,0.64207,0.6823,0.46862,1.14004,1.19474,1.29733,0.00113191,0.00113191,0.00113191
23,1204.97,0.93941,0.98066,1.28867,0.78807,0.58048,0.68778,0.45894,1.18109,1.25034,1.33801,0.00111776,0.00111776,0.00111776
24,1255.9,0.9176,0.97148,1.28499,0.71433,0.73041,0.73786,0.50795,1.11158,1.13648,1.24714,0.00110362,0.00110362,0.00110362
25,1307.83,0.93035,0.98651,1.28911,0.67745,0.68914,0.702,0.49893,1.10341,1.15913,1.28612,0.00108947,0.00108947,0.00108947
26,1358.45,0.91214,0.96256,1.27192,0.6651,0.66869,0.69962,0.47078,1.12762,1.18475,1.33314,0.00107532,0.00107532,0.00107532
27,1408.94,0.91371,0.94726,1.27659,0.80182,0.67298,0.74258,0.50166,1.17486,1.08939,1.34548,0.00106118,0.00106118,0.00106118
28,1460.65,0.89127,0.91636,1.26603,0.74136,0.64664,0.6842,0.45126,1.16845,1.18952,1.35541,0.00104703,0.00104703,0.00104703
29,1511.29,0.88451,0.90819,1.262,0.80005,0.67538,0.7318,0.52311,1.06229,1.08174,1.2432,0.00103288,0.00103288,0.00103288
30,1563.51,0.87455,0.86725,1.24362,0.76823,0.70275,0.74019,0.53328,1.05932,1.06473,1.24517,0.00101873,0.00101873,0.00101873
31,1615.01,0.88233,0.88407,1.25084,0.75328,0.65439,0.70129,0.47891,1.1266,1.17814,1.30352,0.00100459,0.00100459,0.00100459
